timestamp,open,high,low,close,volume,trade_count,vwap
2021-04-16 04:00:00,134.3,134.67,133.28,134.16,84805117.0,540343.0,134.026887
2021-04-19 04:00:00,133.51,135.47,133.34,134.84,94957774.0,625259.0,134.568217
2021-04-20 04:00:00,135.06,135.53,131.81,133.11,95538041.0,744676.0,133.453993
2021-04-21 04:00:00,132.36,133.75,131.3001,133.5,69552331.0,508236.0,132.851333
2021-04-22 04:00:00,133.04,134.15,131.41,131.94,89780577.0,615674.0,132.754191
2021-04-23 04:00:00,132.16,135.12,132.16,134.32,84888565.0,518560.0,134.168525
2021-04-26 04:00:00,134.83,135.06,133.56,134.72,73315093.0,484074.0,134.556942
2021-04-27 04:00:00,135.01,135.41,134.11,134.39,70356442.0,480005.0,134.575486
2021-04-28 04:00:00,134.31,135.02,133.08,133.58,111769456.0,783356.0,133.991098
2021-04-29 04:00:00,136.47,137.07,132.45,133.48,157181673.0,1059393.0,134.133181
2021-04-30 04:00:00,131.78,133.56,131.065,131.46,118162269.0,699638.0,132.14479
2021-05-03 04:00:00,132.04,134.07,131.83,132.54,79773508.0,580644.0,132.80879
2021-05-04 04:00:00,131.19,131.4899,126.7,127.85,146034858.0,1182708.0,127.88114
2021-05-05 04:00:00,129.2,130.45,127.97,128.1,88488165.0,659287.0,129.208074
2021-05-06 04:00:00,127.89,129.75,127.13,129.74,78807021.0,607092.0,128.612168
2021-05-07 04:00:00,130.85,131.2582,129.475,130.21,85342759.0,544537.0,130.416603
2021-05-10 04:00:00,129.41,129.54,126.81,126.85,88933496.0,680684.0,127.851824
2021-05-11 04:00:00,123.5,126.27,122.77,125.91,133807591.0,922251.0,124.745601
2021-05-12 04:00:00,123.4,124.64,122.25,122.77,113210244.0,876771.0,123.05406
2021-05-13 04:00:00,124.58,126.15,124.26,124.97,107081045.0,788609.0,125.230776
2021-05-14 04:00:00,126.25,127.89,125.85,127.45,90601277.0,534534.0,127.000168
2021-05-17 04:00:00,126.82,126.93,125.17,126.27,80528553.0,502355.0,125.920112
2021-05-18 04:00:00,126.56,126.99,124.78,124.85,69129296.0,493596.0,125.914213
2021-05-19 04:00:00,123.16,124.915,122.86,124.69,100433484.0,674478.0,124.040553
2021-05-20 04:00:00,125.23,127.72,125.1,127.31,83448984.0,494883.0,126.855884
2021-05-21 04:00:00,127.82,128.0,125.21,125.43,86829353.0,526777.0,126.164474
2021-05-24 04:00:00,126.01,127.94,125.94,127.1,69927211.0,442167.0,127.254225
2021-05-25 04:00:00,127.82,128.32,126.32,126.9,77303825.0,462970.0,127.076136
2021-05-26 04:00:00,126.955,127.39,126.42,126.85,61288510.0,415359.0,126.861309
2021-05-27 04:00:00,126.44,127.64,125.08,125.28,116578783.0,545649.0,125.972313
2021-05-28 04:00:00,125.57,125.8,124.55,124.61,78072288.0,526780.0,125.022216
2021-06-01 04:00:00,125.08,125.35,123.94,124.28,72144570.0,501241.0,124.597136
2021-06-02 04:00:00,124.28,125.24,124.05,125.06,63368854.0,461507.0,124.779382
2021-06-03 04:00:00,124.68,124.85,123.13,123.54,81403526.0,562301.0,123.772749
2021-06-04 04:00:00,124.07,126.16,123.85,125.89,81427937.0,466811.0,125.400653
2021-06-07 04:00:00,126.17,126.32,124.8321,125.9,76175714.0,504399.0,125.392774
2021-06-08 04:00:00,126.6,128.46,126.2101,126.74,79189096.0,532136.0,127.061065
2021-06-09 04:00:00,127.21,127.75,126.52,127.13,64315610.0,382699.0,127.084336
2021-06-10 04:00:00,127.02,128.19,125.94,126.11,76816859.0,498433.0,126.621335
2021-06-11 04:00:00,126.53,127.44,126.1,127.35,58688119.0,353242.0,127.046805
2021-06-14 04:00:00,127.82,130.54,127.07,130.48,110988351.0,563599.0,129.684863
2021-06-15 04:00:00,129.945,130.6,129.39,129.64,68883859.0,416234.0,129.820646
2021-06-16 04:00:00,130.37,130.89,128.461,130.15,100286328.0,619033.0,130.019984
2021-06-17 04:00:00,129.8,132.55,129.65,131.79,107585192.0,652029.0,131.591602
2021-06-18 04:00:00,130.71,131.51,130.24,130.46,136408062.0,556290.0,130.748893
2021-06-21 04:00:00,130.3,132.41,129.21,132.3,90375931.0,506666.0,131.560342
2021-06-22 04:00:00,132.13,134.08,131.62,133.98,84509149.0,481088.0,133.175136
2021-06-23 04:00:00,133.77,134.32,133.23,133.7,64616230.0,424775.0,133.77917
2021-06-24 04:00:00,134.45,134.64,132.93,133.41,75815074.0,443495.0,133.746251
2021-06-25 04:00:00,133.46,133.89,132.81,133.11,88371762.0,357994.0,133.212392
2021-06-28 04:00:00,133.41,135.245,133.35,134.78,68112075.0,454436.0,134.806148
2021-06-29 04:00:00,134.8,136.49,134.35,136.33,68372177.0,442550.0,135.923559
2021-06-30 04:00:00,136.17,137.41,135.87,136.96,71377665.0,419359.0,136.830539
2021-07-01 04:00:00,136.6,137.33,135.76,137.27,56342229.0,388280.0,136.690074
2021-07-02 04:00:00,137.9,140.0,137.745,139.96,84970248.0,520664.0,139.252916
2021-07-06 04:00:00,140.07,143.15,140.07,142.02,114619239.0,733659.0,141.736139
2021-07-07 04:00:00,143.535,144.89,142.66,144.57,111746230.0,732819.0,144.037156
2021-07-08 04:00:00,141.58,144.06,140.665,143.24,112773322.0,772472.0,142.58733
2021-07-09 04:00:00,142.74,145.65,142.6522,145.11,106619809.0,634716.0,144.807885
2021-07-12 04:00:00,146.21,146.32,144.0,144.5,83066841.0,516639.0,144.778399
2021-07-13 04:00:00,144.03,147.46,143.63,145.64,104907532.0,697219.0,146.074127
2021-07-14 04:00:00,148.1,149.57,147.68,149.15,133484459.0,797736.0,148.829434
2021-07-15 04:00:00,149.24,150.0,147.09,148.48,112350124.0,698337.0,148.436588
2021-07-16 04:00:00,148.46,149.76,145.88,146.39,99273558.0,611573.0,147.641637
2021-07-19 04:00:00,143.75,144.07,141.67,142.45,128811485.0,939628.0,142.571449
2021-07-20 04:00:00,143.46,147.0997,142.96,146.15,105145185.0,614259.0,145.59669
2021-07-21 04:00:00,145.53,146.13,144.63,145.4,80366794.0,473583.0,145.358474
2021-07-22 04:00:00,145.935,148.195,145.81,146.8,81182010.0,480214.0,146.981189
2021-07-23 04:00:00,147.55,148.7177,146.92,148.56,75925274.0,456343.0,148.060665
2021-07-26 04:00:00,148.27,149.83,147.7,148.99,79498730.0,489116.0,149.10307
2021-07-27 04:00:00,149.12,149.21,145.55,146.77,111483119.0,785631.0,146.948372
2021-07-28 04:00:00,144.81,146.97,142.54,144.98,122965718.0,829466.0,144.891816
2021-07-29 04:00:00,144.685,146.55,144.58,145.64,60694970.0,416128.0,145.814255
2021-07-30 04:00:00,144.38,146.33,144.11,145.86,77054702.0,465646.0,145.419741
2021-08-02 04:00:00,146.36,146.95,145.25,145.52,65875193.0,458365.0,145.865854
2021-08-03 04:00:00,145.81,148.045,145.18,147.36,68792157.0,462821.0,146.773594
2021-08-04 04:00:00,147.27,147.79,146.28,146.95,60997440.0,402504.0,147.036199
2021-08-05 04:00:00,146.98,147.84,146.17,147.06,49379114.0,356222.0,147.105684
2021-08-06 04:00:00,146.35,147.11,145.63,146.14,59280265.0,373647.0,146.210543
2021-08-09 04:00:00,146.2,146.7,145.52,146.09,52679515.0,352476.0,146.115225
2021-08-10 04:00:00,146.44,147.71,145.3,145.6,76706864.0,431283.0,146.099667
2021-08-11 04:00:00,146.05,146.72,145.53,145.86,51503841.0,365452.0,146.017177
2021-08-12 04:00:00,146.19,149.05,145.84,148.89,79314067.0,514673.0,148.032582
2021-08-13 04:00:00,148.97,149.4444,148.27,149.1,62684839.0,407372.0,148.928605
2021-08-16 04:00:00,148.535,151.19,146.47,151.12,108408089.0,704854.0,149.405402
2021-08-17 04:00:00,150.23,151.68,149.09,150.19,97169154.0,624242.0,150.237847
2021-08-18 04:00:00,149.8,150.72,146.15,146.36,91837037.0,647603.0,148.230513
2021-08-19 04:00:00,145.03,148.0,144.5,146.7,91195765.0,639431.0,146.463207
2021-08-20 04:00:00,147.44,148.5,146.78,148.19,66952609.0,412832.0,147.839
2021-08-23 04:00:00,148.31,150.19,147.89,149.71,64886166.0,428952.0,149.485426
2021-08-24 04:00:00,149.45,150.86,149.15,149.62,51333221.0,370059.0,149.8944
2021-08-25 04:00:00,149.81,150.32,147.8,148.36,63460356.0,460869.0,148.580645
2021-08-26 04:00:00,148.35,149.12,147.51,147.54,51813743.0,382723.0,148.087476
2021-08-27 04:00:00,147.48,148.75,146.83,148.6,61524446.0,404655.0,148.153629
2021-08-30 04:00:00,149.0,153.49,148.61,153.12,95242745.0,659673.0,152.162551
2021-08-31 04:00:00,152.66,152.8,151.29,151.83,99800695.0,534520.0,152.000985
2021-09-01 04:00:00,152.83,154.98,152.34,152.51,85467867.0,593513.0,153.721613
2021-09-02 04:00:00,153.87,154.72,152.4,153.65,76171528.0,519977.0,153.613989
